match_id,round_number,t1_side,t2_side,atk_score,def_score,time_remaining_s,spike_planted,atk_loadout_value,def_loadout_value,atk_duelists_alive,atk_controllers_alive,atk_initiators_alive,atk_sentinels_alive,def_duelists_alive,def_controllers_alive,def_initiators_alive,def_sentinels_alive,round_winner
192637,8,ATK,DEF,3,4,56,0,8150,23600,1,1,0,2,1,0,0,1,ATK
192637,8,ATK,DEF,3,4,55,0,8150,23600,1,1,0,2,1,0,0,0,ATK
192637,8,ATK,DEF,3,4,45,1,8150,23600,1,1,0,2,1,0,0,0,ATK
192637,9,ATK,DEF,4,4,100,0,24350,14250,1,2,0,2,2,2,0,1,ATK
192637,9,ATK,DEF,4,4,83,0,24350,14250,1,2,0,2,2,2,0,0,ATK
192637,9,ATK,DEF,4,4,74,0,24350,14250,1,2,0,2,1,2,0,0,ATK
192637,9,ATK,DEF,4,4,71,0,24350,14250,1,2,0,2,1,1,0,0,ATK
192637,9,ATK,DEF,4,4,69,0,24350,14250,1,2,0,2,1,0,0,0,ATK
192637,9,ATK,DEF,4,4,45,1,24350,14250,1,2,0,2,1,0,0,0,ATK
192637,9,ATK,DEF,4,4,33,1,24350,14250,1,2,0,2,0,0,0,0,ATK
192637,10,ATK,DEF,5,4,100,0,24450,19900,1,2,0,2,2,2,0,1,DEF
192637,10,ATK,DEF,5,4,82,0,24450,19900,1,2,0,1,2,2,0,1,DEF
192637,10,ATK,DEF,5,4,81,0,24450,19900,1,2,0,1,2,1,0,1,DEF
192637,10,ATK,DEF,5,4,81,0,24450,19900,1,2,0,1,1,1,0,1,DEF
192637,10,ATK,DEF,5,4,81,0,24450,19900,1,1,0,1,1,1,0,1,DEF
192637,10,ATK,DEF,5,4,80,0,24450,19900,1,0,0,1,1,1,0,1,DEF
192637,10,ATK,DEF,5,4,67,0,24450,19900,0,0,0,1,1,1,0,1,DEF
192637,10,ATK,DEF,5,4,10,0,24450,19900,0,0,0,0,1,1,0,1,DEF
192637,11,ATK,DEF,5,5,100,0,25150,21000,1,2,0,2,2,2,0,1,DEF
192637,11,ATK,DEF,5,5,60,0,25150,21000,1,2,0,1,2,2,0,1,DEF
